id,country_name,country_id,is_active,created_by,created_date,updated_by,updated_date
84,Gibraltar,84,1,admin,"2023-06-14 03:33:06",NULL,NULL
85,Greece,85,1,admin,"2023-06-14 03:33:06",NULL,NULL
86,Greenland,86,1,admin,"2023-06-14 03:33:06",NULL,NULL
87,Grenada,87,1,admin,"2023-06-14 03:33:06",NULL,NULL
88,Guadeloupe,88,1,admin,"2023-06-14 03:33:06",NULL,NULL
89,Guam,89,1,admin,"2023-06-14 03:33:06",NULL,NULL
90,Guatemala,90,1,admin,"2023-06-14 03:33:06",NULL,NULL
91,"Guernsey and Alderney",91,1,admin,"2023-06-14 03:33:06",NULL,NULL
92,Guinea,92,1,admin,"2023-06-14 03:33:06",NULL,NULL
93,Guinea-Bissau,93,1,admin,"2023-06-14 03:33:06",NULL,NULL
94,Guyana,94,1,admin,"2023-06-14 03:33:06",NULL,NULL
95,Haiti,95,1,admin,"2023-06-14 03:33:06",NULL,NULL
96,"Heard and McDonald Islands",96,1,admin,"2023-06-14 03:33:06",NULL,NULL
97,Honduras,97,1,admin,"2023-06-14 03:33:06",NULL,NULL
98,"Hong Kong S.A.R.",98,1,admin,"2023-06-14 03:33:06",NULL,NULL
99,Hungary,99,1,admin,"2023-06-14 03:33:06",NULL,NULL
100,Iceland,100,1,admin,"2023-06-14 03:33:06",NULL,NULL
101,India,101,1,admin,"2023-06-14 03:33:06",NULL,NULL
102,Indonesia,102,1,admin,"2023-06-14 03:33:06",NULL,NULL
103,Iran,103,1,admin,"2023-06-14 03:33:06",NULL,NULL
104,Iraq,104,1,admin,"2023-06-14 03:33:06",NULL,NULL
105,Ireland,105,1,admin,"2023-06-14 03:33:06",NULL,NULL
106,Israel,106,1,admin,"2023-06-14 03:33:06",NULL,NULL
107,Italy,107,1,admin,"2023-06-14 03:33:06",NULL,NULL
108,Jamaica,108,1,admin,"2023-06-14 03:33:06",NULL,NULL
109,Japan,109,1,admin,"2023-06-14 03:33:06",NULL,NULL
110,Jersey,110,1,admin,"2023-06-14 03:33:06",NULL,NULL
111,Jordan,111,1,admin,"2023-06-14 03:33:06",NULL,NULL
112,Kazakhstan,112,1,admin,"2023-06-14 03:33:06",NULL,NULL
113,Kenya,113,1,admin,"2023-06-14 03:33:06",NULL,NULL
114,Kiribati,114,1,admin,"2023-06-14 03:33:06",NULL,NULL
115,"Korea North",115,1,admin,"2023-06-14 03:33:06",NULL,NULL
116,"Korea South",116,1,admin,"2023-06-14 03:33:06",NULL,NULL
117,Kuwait,117,1,admin,"2023-06-14 03:33:06",NULL,NULL
118,Kyrgyzstan,118,1,admin,"2023-06-14 03:33:06",NULL,NULL
119,Laos,119,1,admin,"2023-06-14 03:33:06",NULL,NULL
120,Latvia,120,1,admin,"2023-06-14 03:33:06",NULL,NULL
121,Lebanon,121,1,admin,"2023-06-14 03:33:06",NULL,NULL
122,Lesotho,122,1,admin,"2023-06-14 03:33:06",NULL,NULL
123,Liberia,123,1,admin,"2023-06-14 03:33:06",NULL,NULL
124,Libya,124,1,admin,"2023-06-14 03:33:06",NULL,NULL
125,Liechtenstein,125,1,admin,"2023-06-14 03:33:06",NULL,NULL
126,Lithuania,126,1,admin,"2023-06-14 03:33:06",NULL,NULL
127,Luxembourg,127,1,admin,"2023-06-14 03:33:06",NULL,NULL
128,"Macau S.A.R.",128,1,admin,"2023-06-14 03:33:06",NULL,NULL
129,Macedonia,129,1,admin,"2023-06-14 03:33:06",NULL,NULL
130,Madagascar,130,1,admin,"2023-06-14 03:33:06",NULL,NULL
131,Malawi,131,1,admin,"2023-06-14 03:33:06",NULL,NULL
132,Malaysia,132,1,admin,"2023-06-14 03:33:06",NULL,NULL
133,Maldives,133,1,admin,"2023-06-14 03:33:06",NULL,NULL
134,Mali,134,1,admin,"2023-06-14 03:33:06",NULL,NULL
